--- scanner 35 ---
-793,443,-712
-771,324,-699 *
-760,675,612 *
-732,718,418 *
-723,582,480 *
-704,431,-619
-459,-329,-246
-458,-324,-407
-436,-385,-403
-286,-553,633 *
-261,-552,686 *
-235,-652,695 *
-8,-34,145
162,109,80
654,-482,-465
714,-649,-424
769,706,-601
777,-518,-450
779,629,-531
811,770,875 *
825,-510,619 *
826,766,873
839,779,-566 *
852,583,894 *
876,-630,580 
898,-575,633 *

--- scanner 0 ---
-814,-443,-779
-790,-313,-826 *
-779,702,594 *
-751,896,637 *
-742,834,501 *
-672,-407,-828
-654,-760,550
-611,-859,516
-486,-729,544
-305,681,-634 *
-280,628,-633 * 
-254,619,-733 *
-5,56,-110
115,-50,16
405,-383,-473
506,-384,-370
512,-465,-442
782,-651,265
792,439,689 *
806,695,-591 * 
812,-724,242
833,420,502 *
807,441,685
857,734,-711
858,-686,356 *
879,681,-656 *

0 à +35 : +19, +637, +127 ? Non, pas du tout.
